['n', 't', 'd']
[41945, 0.4194500000002787, 1.337043200259622]
[41946, 0.4194600000002787, 1.337002052214622]
[41947, 0.41947000000027873, 1.336960903188622]
[41948, 0.41948000000027874, 1.336919753181622]
[41949, 0.41949000000027875, 1.3368786021936219]
[41950, 0.41950000000027876, 1.3368374502246219]
[41951, 0.41951000000027877, 1.336796297274622]
[41952, 0.4195200000002788, 1.3367551433436218]
[41953, 0.4195300000002788, 1.3367139884316217]
[41954, 0.4195400000002788, 1.3366728325386217]
[41955, 0.4195500000002788, 1.3366316756646217]
[41956, 0.4195600000002788, 1.3365905178096218]
[41957, 0.41957000000027883, 1.3365493589736217]
[41958, 0.41958000000027884, 1.3365081991566217]
[41959, 0.41959000000027885, 1.3364670383586217]
[41960, 0.41960000000027886, 1.3364258765796218]
[41961, 0.41961000000027887, 1.3363847138196217]
[41962, 0.4196200000002789, 1.3363435500786216]
[41963, 0.4196300000002789, 1.3363023853566216]
[41964, 0.4196400000002789, 1.3362612196536217]
[41965, 0.4196500000002789, 1.3362200529696215]
[41966, 0.4196600000002789, 1.3361788853046215]
[41967, 0.41967000000027893, 1.3361377166586215]
[41968, 0.41968000000027894, 1.3360965470316215]
[41969, 0.41969000000027895, 1.3360553764236214]
[41970, 0.41970000000027896, 1.3360142048346213]
[41971, 0.41971000000027897, 1.3359730322646213]
[41972, 0.419720000000279, 1.3359318587136213]
[41973, 0.419730000000279, 1.3358906841816214]
[41974, 0.419740000000279, 1.3358495086686213]
[41975, 0.419750000000279, 1.3358083321746212]
[41976, 0.419760000000279, 1.3357671546996213]
[41977, 0.41977000000027903, 1.3357259762436213]
[41978, 0.41978000000027904, 1.3356847968066212]
[41979, 0.41979000000027905, 1.3356436163886212]
[41980, 0.41980000000027906, 1.3356024349896212]
[41981, 0.41981000000027907, 1.3355612526096212]
[41982, 0.4198200000002791, 1.335520069248621]
[41983, 0.4198300000002791, 1.335478884906621]
[41984, 0.4198400000002791, 1.335437699583621]
[41985, 0.4198500000002791, 1.335396513279621]
[41986, 0.4198600000002791, 1.335355325994621]
[41987, 0.41987000000027913, 1.3353141377286208]
[41988, 0.41988000000027914, 1.3352729484816208]
[41989, 0.41989000000027915, 1.3352317582536208]
[41990, 0.41990000000027916, 1.335190567044621]
[41991, 0.41991000000027917, 1.3351493748546208]
[41992, 0.4199200000002792, 1.3351081816836208]
[41993, 0.4199300000002792, 1.3350669875316208]
[41994, 0.4199400000002792, 1.3350257923986208]
[41995, 0.4199500000002792, 1.3349845962846207]
[41996, 0.4199600000002792, 1.3349433991896207]
[41997, 0.41997000000027923, 1.3349022011136207]
[41998, 0.41998000000027924, 1.3348610020566207]
[41999, 0.41999000000027925, 1.3348198020186206]
[42000, 0.42000000000027926, 1.3347786009996205]
[42001, 0.42001000000027927, 1.3347373989996205]
[42002, 0.4200200000002793, 1.3346961960186206]
[42003, 0.4200300000002793, 1.3346549920566204]
[42004, 0.4200400000002793, 1.3346137871136203]
[42005, 0.4200500000002793, 1.3345725811896203]
[42006, 0.4200600000002793, 1.3345313742846203]
[42007, 0.42007000000027933, 1.3344901663986204]
[42008, 0.42008000000027934, 1.3344489575316203]
[42009, 0.42009000000027935, 1.3344077476836202]
[42010, 0.42010000000027936, 1.3343665368546203]
[42011, 0.42011000000027937, 1.3343253250446203]
[42012, 0.4201200000002794, 1.3342841122536202]
[42013, 0.4201300000002794, 1.3342428984816201]
[42014, 0.4201400000002794, 1.3342016837286201]
[42015, 0.4201500000002794, 1.3341604679946202]
[42016, 0.4201600000002794, 1.33411925127962]
[42017, 0.42017000000027943, 1.33407803358362]
